date,yield_10y_change,yield_30y_change,spread_10y_2y,spread_30y_10y,dr007_change,omo_net_injection_amount,avg_futures_return,avg_volume_change,avg_ai_sentiment_score,score_rate_direction,score_curve_shape,score_funding,score_omo,score_futures_volume_price,score_text_signal,score_macro,total_score,market_view
2026-02-11,-0.009999999999999787,-0.0015000000000000568,0.4529500000000002,0.4460999999999997,-0.01849999999999996,3250.0,0.00040260960498844645,0.2808557568381709,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,4.5,bullish
2026-02-12,-0.01010000000000022,0.000500000000000167,0.44314999999999993,0.4567000000000001,0.00019999999999997797,1000.0,-4.5963977161583847e-05,-0.14252883043880657,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,3.5,bullish
2026-02-13,0.0035000000000000586,-0.0019999999999997797,0.44635,0.45120000000000027,-0.03530000000000011,-1550.0,-0.0003437075030990888,0.29095228396569783,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.5,-0.5,neutral
2026-02-24,0.009500000000000064,-0.00140000000000029,0.4576,0.4402999999999999,0.0818000000000001,,0.001319036131943896,0.07898954763879848,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0,0.5,-1.5,neutral
2026-02-25,0.013500000000000068,0.012399999999999967,0.4646000000000001,0.4391999999999998,-0.05180000000000007,,-0.0018928565415642362,0.24610072453751694,0.0,-2.0,0.0,1.0,0.0,-1.0,0.0,0.5,-1.5,neutral
2026-02-26,0.0129999999999999,0.04010000000000025,0.47240000000000015,0.46630000000000016,-0.030000000000000027,,-0.0018583984579075563,-0.26541839447710774,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.5,-0.5,neutral
2026-02-27,-0.041099999999999914,-0.00550000000000006,0.4356,0.5019,0.030000000000000027,,9.486835450930875e-05,-0.1784238650108737,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.5,1.5,neutral
2026-03-02,-0.011600000000000055,-0.020000000000000018,0.43510000000000004,0.49350000000000005,-0.040000000000000036,,0.001968487907570482,-0.022074698057430876,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.5,3.5,bullish
2026-03-03,0.0045999999999999375,0.013100000000000112,0.4483999999999999,0.5020000000000002,-0.010000000000000009,-4917.0,0.00019506425305970687,-0.11752218055919081,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,-0.5,neutral
2026-03-04,-0.0039000000000000146,-0.007500000000000284,0.45189999999999997,0.49839999999999995,-0.020000000000000018,-3690.0,0.00035926562334684387,0.24209262650905228,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.5,0.5,neutral
2026-03-05,0.001100000000000101,-0.0034999999999998366,0.45055,0.4938,-0.010000000000000009,-2975.0,-0.0003332205841737601,-0.07805461369131318,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,-0.5,neutral
2026-03-06,0.0030999999999998806,0.009500000000000064,0.45665,0.5002000000000002,0.0,-2242.0,6.340253895428805e-05,-0.019744854901125063,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,-0.5,neutral
2026-03-09,0.024399999999999977,0.04800000000000004,0.4748999999999999,0.5238000000000003,0.030000000000000027,295.0,-0.0037663900823347585,0.7918516329127196,0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,0.5,-3.5,bearish
2026-03-10,0.00010000000000021103,0.0036000000000000476,0.47550000000000003,0.5273000000000001,0.0,52.0,8.1031425966549e-05,-0.24323317565711905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,neutral
2026-03-11,0.0020000000000000018,0.017499999999999627,0.4800500000000001,0.5427999999999997,0.020000000000000018,-140.0,-0.0006585282716082552,-0.22264539621740206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,neutral
2026-03-12,-0.0023000000000001908,-0.00990000000000002,0.48534999999999995,0.5351999999999999,0.0,15.0,0.0005037630359402967,0.13186176300968475,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,neutral
2026-03-13,0.009100000000000108,0.026100000000000012,0.49070000000000014,0.5521999999999998,-0.017800000000000038,-73.0,-0.000796700407664247,-0.12220580324721228,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.5,neutral
2026-03-16,0.016899999999999915,0.025200000000000333,0.5042499999999999,0.5605000000000002,0.007800000000000029,888.0,-0.0016270881490096922,0.3878203584404068,0.0,-2.0,0.0,0.0,1.0,-1.0,0.0,0.5,-1.5,neutral
2026-03-17,0.00019999999999997797,-0.011100000000000332,0.5146999999999999,0.5491999999999999,-0.010000000000000009,115.0,0.0005950411392391386,-0.2857094323933947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,neutral
2026-03-18,-0.013900000000000023,-0.019899999999999807,0.5105499999999998,0.5432000000000001,0.0,-60.0,0.0011976703334962702,0.1521322736411021,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,3.5,bullish
2026-03-19,0.00770000000000004,0.030299999999999994,0.52325,0.5658000000000001,-0.030000000000000027,-115.0,0.0006524058739820759,0.2035980263701033,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.5,bullish
2026-03-20,0.0047000000000001485,-0.0028999999999999027,0.5289500000000003,0.5582,0.010000000000000009,-170.0,-0.0014442816411817105,-0.026316354401414842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,neutral
2026-03-23,0.0016999999999998128,-0.015099999999999891,0.5250499999999998,0.5414000000000003,0.0,-1293.0,-0.00021715462042615208,0.3465952632326973,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.5,-1.5,neutral
2026-03-24,-0.0043999999999999595,-0.027300000000000324,0.5222499999999999,0.5185,0.0,-335.0,0.0013242111967741166,-0.2283475798349775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,neutral
2026-03-25,-0.0039000000000000146,0.0,0.5185,0.5224,0.020000000000000018,580.0,7.332596123293955e-05,-0.23007143078458586,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.5,0.5,neutral
2026-03-26,-0.0039000000000000146,0.004100000000000215,0.5232000000000001,0.5304000000000002,-0.010000000000000009,2110.0,0.0009598798850578572,0.026026950504920814,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,2.5,bullish
2026-03-27,-0.0021999999999999797,-0.00010000000000021103,0.5298999999999998,0.5325,0.0,1257.0,-0.0006667874242888838,0.03308007980979433,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.5,0.5,neutral
2026-03-30,-0.01089999999999991,-0.02110000000000012,0.5541500000000001,0.5222999999999998,-0.010000000000000009,2615.0,0.001677725267293928,0.27717095250676793,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,4.5,bullish
2026-03-31,0.01079999999999992,0.0235000000000003,0.5520999999999998,0.5350000000000001,0.0,150.0,0.0005674156432483035,-0.09604584351583921,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,bearish
2026-04-01,0.007300000000000084,0.014599999999999724,0.5425,0.5422999999999998,-0.010000000000000009,-780.0,-0.001283530080661316,0.262331266429833,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,bearish
2026-04-02,-0.0035000000000000586,0.006600000000000161,0.5354999999999999,0.5524,-0.020000000000000018,-2235.0,-0.0002846582243183904,-0.03462563098457313,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,neutral
2026-04-03,-0.0009999999999998899,-0.0007999999999999119,0.53485,0.5526,-0.04999999999999982,-1452.0,0.0006745130510794617,-0.029505063602574464,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,neutral
2026-04-07,-0.0028000000000001357,-0.012799999999999923,0.5349499999999998,0.5426000000000002,-0.010000000000000009,-320.0,0.0010802495427042202,-0.2117247520328585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
2026-04-08,-0.0034999999999998366,-0.02200000000000024,0.5264500000000001,0.5240999999999998,-0.010000000000000009,0.0,0.0010998054007016478,0.13896315019676672,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-04-09,0.005599999999999827,0.0016000000000002679,0.5362,0.5201000000000002,0.0,0.0,0.0003214302632806032,0.2230943051825251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-04-10,-0.006399999999999961,-0.033800000000000274,0.52745,0.4926999999999999,0.010000000000000009,10.0,0.00038962487051427686,0.041540310456333926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-04-13,-0.019500000000000073,-0.02389999999999981,0.5179499999999999,0.4883000000000002,0.020000000000000018,,0.0014217459096875773,-0.07126873523518462,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,neutral
2026-04-14,-0.010399999999999965,-0.001100000000000101,0.5122499999999999,0.49760000000000004,0.010000000000000009,5.0,0.0008309201927094167,0.26756477420452396,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,bullish
2026-04-15,-0.0020000000000000018,-0.0020999999999999908,0.5288999999999999,0.49750000000000005,-0.010000000000000009,0.0,0.0003704424975855547,-0.09979717409475151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
2026-04-16,0.00029999999999996696,0.0026000000000001577,0.5307,0.49980000000000024,-0.030000000000000027,0.0,-0.000595884046279832,-0.030310544630666205,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,neutral
2026-04-17,-0.018899999999999917,-0.03100000000000014,0.51915,0.4877,-0.020000000000000018,-15.0,0.0022640989632474184,-0.057528071483031705,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,bullish
2026-04-20,0.00039999999999995595,0.005599999999999827,0.5190999999999999,0.4928999999999999,0.010000000000000009,0.0,5.83235625007672e-05,-0.13119229612270714,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,neutral
2026-04-21,-0.011700000000000044,-0.018100000000000005,0.5141499999999999,0.48649999999999993,0.0,40.0,0.0012498281596621807,0.06576925053544161,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,bullish
2026-04-22,-0.0121,-0.023800000000000043,0.5117,0.4747999999999999,0.0,55.0,0.0015648115613297042,0.005954925660780746,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,bullish
2026-04-23,0.015900000000000025,0.021600000000000286,0.5341,0.48050000000000015,0.0,0.0,-0.0007574631652163821,0.126556517242298,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,bearish
2026-04-24,0.005300000000000082,0.0118999999999998,0.54925,0.48709999999999987,-0.010000000000000009,45.0,-0.001300289676739702,0.15008730489821373,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,neutral
2026-04-27,0.009600000000000053,0.008500000000000174,0.5486,0.486,0.040200000000000014,2180.0,-0.0023159004980410347,0.11940981051706324,0.0,-2.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-3.0,bearish
2026-04-28,-0.0042999999999999705,-0.013700000000000045,0.54175,0.4765999999999999,0.009800000000000031,385.0,0.0009690305240105945,-0.1753117857835897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neutral
2026-04-29,-0.02100000000000013,-0.02300000000000013,0.5237999999999998,0.4745999999999999,0.019999999999999796,199.0,0.0008259253153105051,-0.15535515025276742,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,neutral
2026-04-30,0.0029000000000001247,-0.0009999999999998899,0.5262000000000002,0.4706999999999999,0.010000000000000009,1257.0,-0.0007965076632467927,0.05210165315492595,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,neutral
2026-05-06,0.018100000000000005,0.020999999999999908,0.5322,0.4735999999999998,-0.029999999999999805,1.0,-0.0014530337367302804,0.3316905768833725,0.0,-2.0,0.0,1.0,0.0,-1.0,0.0,0.0,-2.0,bearish
2026-05-07,-0.0023000000000001908,-0.0009999999999998899,0.5279,0.4749000000000001,0.0,-992.0,0.0003967062117433695,-0.3104408902663773,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,neutral
2026-05-08,0.0017000000000000348,0.00749999999999984,0.5241499999999999,0.4806999999999999,-0.010000000000000009,,0.00020405589082206355,0.1399703420277255,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-05-11,-0.0025999999999999357,-0.009399999999999853,0.52125,0.4739,-0.010000000000000009,,0.0010678681800704304,0.21947918668358452,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-05-12,-0.0029999999999998916,-0.0040999999999997705,0.5174500000000002,0.4728000000000001,-0.040000000000000036,,0.0009006896293152766,-0.11453372756974078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,neutral
2026-05-13,-0.007800000000000029,0.0019999999999997797,0.5037,0.4825999999999999,-0.010000000000000009,-255.0,0.0006562458314293695,0.009479752481532416,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-05-14,0.007399999999999851,0.007000000000000117,0.5059,0.4822000000000002,0.010000000000000009,-265.0,-0.000428799427444726,-0.01014293328824015,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.0,bearish
2026-05-15,0.007000000000000117,0.01200000000000001,0.51665,0.4872000000000001,0.0,0.0,3.4185310820278314e-05,0.14905002393512307,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral
2026-05-18,-0.007300000000000084,-0.008999999999999897,0.5103,0.48550000000000026,0.020000000000000018,5.0,0.0006834790475048202,0.13677267594724027,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,neutral
2026-05-19,-0.02400000000000002,-0.02300000000000013,0.4938499999999999,0.48650000000000015,-0.010000000000000009,0.0,0.001976258608461623,-0.14074800719425404,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,bullish
2026-05-20,0.0037000000000000366,0.010099999999999998,0.5048499999999998,0.4929000000000001,0.010000000000000009,495.0,0.00018554990098329505,-0.08266086288319864,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,neutral
2026-05-21,0.006599999999999939,-0.00010000000000021103,0.5126999999999999,0.48619999999999997,-0.006900000000000128,995.0,-0.001064915489262741,0.22396385566382251,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,neutral
2026-05-22,0.007100000000000106,0.0035000000000002807,0.5133999999999999,0.48260000000000014,0.036900000000000155,1525.0,0.0003678694822923101,-0.0071359860385878104,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,neutral
2026-05-25,-0.0035000000000000586,-0.008500000000000174,0.5097499999999999,0.4776,0.039999999999999813,2570.0,0.0008019428626411251,0.07618226150126742,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,neutral
2026-05-26,-0.007900000000000018,-0.00550000000000006,0.5043499999999999,0.48,-0.01729999999999987,2485.0,0.0006007012016491231,0.04682656672404161,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,bullish
2026-05-27,-0.018899999999999917,-0.012499999999999734,0.4978500000000001,0.48640000000000017,-0.008800000000000141,1276.0,0.0006898537849455155,-0.05351053367722414,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,bullish
2026-05-28,-0.0022999999999999687,0.0014999999999996128,0.5097499999999999,0.49019999999999975,-0.013899999999999801,13.0,0.0008115129231755502,-0.0764734610464415,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,neutral
2026-05-29,-0.010299999999999976,-0.0044999999999997264,0.49485,0.496,0.029999999999999805,-300.0,0.0009307519871640246,0.05626000968453159,0.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0,bullish
2026-06-01,-0.007000000000000117,-0.014499999999999957,0.47639999999999993,0.48850000000000016,-0.019999999999999796,-2470.0,0.0006598574384925615,-0.0643979689873833,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,neutral
2026-06-02,0.0019000000000000128,0.0015000000000000568,0.47629999999999995,0.4881000000000002,-0.010000000000000009,-2488.0,0.0002885914152492841,-0.16044242188056523,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,neutral
